rank	kind	score	domain	title	region	protocol	freshness	auth	reuse_pattern	score_src	path
18	new	17	imagery	Copernicus Data Space Ecosystem STAC API	Global (ESA Copernicus program)	STAC 1.0.0 (SpatioTemporal Asset Catalog)	Hours to days (Sentinel-1 GRD ~3h, Sentinel-2 L1C ~1-2h, L2A ~3-6h, Sentinel-3 ~3h, Sentinel-5P ~3h)	Free registration for data access (STAC catalog open)	GeoJSON REST (poller)	explicit	tools/candidates/imagery/spaceother-copernicus-dataspace-stac.md
19	new	17	parking	NDW Netherlands Parking (Truck Parking)	Netherlands	DATEX II v3	Every 1 minute	None	DATEX II (road traffic)	total	tools/candidates/parking/ndw-parking-netherlands.md
20	new	17	transit	Transport for London (TfL) Unified API	United Kingdom (London)	REST (JSON)	Real-time — line arrivals update every 30 seconds	API Key (free registration recommended; unauthenticated access available with lower limits)	GTFS-RT/SIRI (transit)	total	tools/candidates/transit/tfl-unified-api.md
21	new	17	water-quality	Hub'Eau — France Water Quality APIs	France (metropolitan + overseas territories — 25,000+ monitoring stations)	REST API (JSON/CSV/GeoJSON)	Continuous sync with Naïades database (surface WQ); monthly (drinking water)	None	GeoJSON REST (poller)	total	tools/candidates/water-quality/hubeau-france.md
22	new	17	weather	Iowa Environmental Mesonet (IEM)	United States (with some global data)	REST API (FastAPI/OpenAPI 3.1)	Real-time (current observations), hourly (METAR), 1-minute (ASOS)	None (fully open, no API key required)	GeoJSON REST (poller)	total	tools/candidates/weather/iem-mesonet.md
23	new	17	wikimedia-osm	OpenStreetMap Notes API	Global	REST (XML or JSON)	Real-time — notes appear within seconds of creation	None (read), OAuth2 (write)	GeoJSON REST (poller)	total	tools/candidates/wikimedia-osm/osm-notes-api.md
24	new	17	aviation	OpenSky Network	Global	REST	Real-time (~5-second update intervals for state vectors)	None (anonymous, limited) / Account (free, higher limits)		total	tools/candidates/aviation/opensky-network.md
25	new	17	citizen-sensors	eBird	Global	REST (JSON)	Near real-time — observations available within minutes of checklist submission	API Key (free, requires eBird account)		total	tools/candidates/citizen-sensors/ebird.md
26	new	17	coral-marine	OBIS (Ocean Biogeographic Information System)	Global (all oceans)	REST/JSON	Continuous (as datasets are contributed/updated)	None		total	tools/candidates/coral-marine/obis.md
27	new	17	hydrology	Slovenia — ARSO Hydrological Monitoring	Slovenia	REST (static XML feed)	Every 30 minutes	None		total	tools/candidates/hydrology/slovenia-arso-hidro.md
28	new	17	lightning	NOAA GLM (Geostationary Lightning Mapper) — GOES-19/18	Western Hemisphere (Americas, Atlantic, eastern Pacific)	AWS S3 (HTTPS REST), SNS push notifications	Every 20 seconds (180 files/hour per satellite)	None — fully open, anonymous S3 access		total	tools/candidates/lightning/noaa-glm-goes.md
29	new	17	parking	Singapore LTA Carpark Availability	Singapore	REST (OData-style)	Real-time (1 minute)	API key required (free registration at datamall.lta.gov.sg)		total	tools/candidates/parking/singapore-lta-carparks.md
30	new	17	road-traffic	Singapore LTA Traffic	Singapore	REST (OData-style)	Real-time (1–5 minutes depending on dataset)	API key required (free registration at datamall.lta.gov.sg)		total	tools/candidates/road-traffic/singapore-lta-traffic.md
31	new	17	space-orbital	NASA DONKI (Space Weather Database of Notifications, Knowledge, Information)	Global	REST	Event-driven (events added as they occur; data within hours of detection)	API Key (free, DEMO_KEY available for testing)		total	tools/candidates/space-orbital/nasa-donki.md
32	new	17	space-orbital	NASA Near Earth Object (NEO) Web Service	Global	REST	Daily (orbital calculations updated as new observations arrive)	API Key (free, DEMO_KEY available)		total	tools/candidates/space-orbital/nasa-neo.md
33	new	17	space-weather	NOAA GOES Differential Proton Flux (SWPC)	USA / Global (space-based)	REST (JSON)	5-minute cadence	None		explicit	tools/candidates/space-weather/noaasat-goes-proton-flux.md
34	new	17	tidal-sea-level	IOC Sea Level Station Monitoring Facility (SLSMF)	Global (~1,000 stations worldwide)	REST (OpenAPI / Slim Framework)	Real-time (minutes-level, varies by station)	API Key (free registration required)		total	tools/candidates/tidal-sea-level/ioc-slsmf.md
35	new	17	weather	Taiwan CWA (Central Weather Administration) Open Data	Taiwan	REST API (OpenAPI/Swagger)	Real-time (observations), hourly (forecasts), per event (warnings)	API Key (free registration required)		total	tools/candidates/weather/cwa-taiwan.md
36	new	17	wikimedia-osm	Wikidata Recent Changes	Global	REST (MediaWiki Action API) + SSE (via Wikimedia EventStreams)	Real-time (hundreds of edits/minute)	None		total	tools/candidates/wikimedia-osm/wikidata-recent-changes.md
37	new	16	bikeshare-gbfs	Seoul Ddareungi (따릉이 / Seoul Bike)	South Korea — Seoul	REST (proprietary JSON — not GBFS)	Real-time	API key required (free registration at data.seoul.go.kr)	GBFS (micromobility)	total	tools/candidates/bikeshare-gbfs/seoul-ddareungi.md
38	new	16	energy	RTE éCO2mix (France)	France (national + regional)	REST (Opendatasoft v2.1 API)	Every 15 minutes (quarter-hourly)	None (open access, quota: 50,000 API calls/user/month)	GeoJSON REST (poller)	total	tools/candidates/energy/rte-eco2mix.md
39	new	16	ev-charging	Hamburg Elektro Ladestandorte	Germany — Hamburg	HTTPS pull	Near-real-time; public SensorThings observations updated on 2026-04-07 and 2026-04-08 during the probe	None observed during probe	DATEX II (road traffic)	total	tools/candidates/ev-charging/hamburg-emobility.md
40	new	16	ferry	Washington State Ferries (WSF) API	US — Puget Sound / Pacific Northwest	REST (JSON/XML) and SOAP	Real-time (vessel positions update every ~30 seconds, wait times every few minutes)	API Access Code (free registration via email)	GTFS-RT/SIRI (transit)	explicit	tools/candidates/ferry/wsdot-wsf-ferries.md
41	new	16	geomagnetic	NOAA OVATION Aurora Forecast Model				None. Anonymous access.	GeoJSON REST (poller)	total	tools/candidates/geomagnetic/noaa-ovation-aurora.md
42	new	16	imagery	Element84 Earth Search STAC API	Global (AWS us-west-2)	STAC 1.0.0 (SpatioTemporal Asset Catalog)	Hours to days (Landsat Collection 2 ~12-24h, Sentinel-2 L2A/L1C ~1-3d, Sentinel-1 GRD ~3d)	None (fully open)	GeoJSON REST (poller)	explicit	tools/candidates/imagery/spaceother-element84-earth-search.md
43	new	16	imagery	Microsoft Planetary Computer STAC API	Global (Microsoft Azure)	STAC 1.0.0 (SpatioTemporal Asset Catalog)	Hours to days (Landsat 8/9 NRT ~12h, Sentinel-2 L2A ~1-3d, GOES ~hourly)	None (free tier); Azure auth for private data	GeoJSON REST (poller)	explicit	tools/candidates/imagery/spaceother-planetary-computer-stac.md
44	new	16	lightning	EUMETSAT MTG Lightning Imager (LI)	Europe, Africa, Atlantic (MTG full disk coverage)	REST API (Data Store), WMS (EUMETView), EUMETCast broadcast	Continuous (lightning events), L2 products every ~20 seconds	Free EUMETSAT registration required	ERDDAP/THREDDS (ocean grid)	explicit	tools/candidates/lightning/eumetsat-mtg-lightning-imager.md
45	new	16	maritime-ais	BarentsWatch AIS Live API	Norway	REST (JSON streaming)	Real-time streaming (messages arrive as they come from shore stations)	OAuth2 client_credentials (free registration at barentswatch.no)	GeoJSON REST (poller)	total	tools/candidates/maritime-ais/barentswatch-ais.md
46	new	16	parking	Ghent Parking (Stad Gent)	Belgium — Ghent	REST (Opendatasoft API)	Real-time (every ~1 minute)	None	GeoJSON REST (poller)	total	tools/candidates/parking/ghent-parking.md
47	new	16	road-traffic	National Highways England (WebTRIS)	United Kingdom — England	REST	15-minute intervals (sensor data); daily aggregations available	None	DATEX II (road traffic)	total	tools/candidates/road-traffic/national-highways-england.md
48	new	16	road-traffic	Statens vegvesen (Norwegian Public Roads Administration)	Norway	GraphQL (Trafikkdata) / REST (NVDB API)	Hourly traffic counts (Trafikkdata); road network data periodically updated (NVDB)	None (Trafikkdata) / API key for some NVDB endpoints	DATEX II (road traffic)	total	tools/candidates/road-traffic/vegvesen-norway.md
49	new	16	seismology	GeoNet New Zealand — Earthquake API				None. Anonymous access.	CAP alerts	total	tools/candidates/seismology/geonet-nz.md
50	new	16	tidal-sea-level	Puertos del Estado — REDMAR Tide Gauge Network (Spain)	Spain (Mediterranean, Atlantic, Canary Islands, Balearics)	OPeNDAP / THREDDS Data Server (TDS)	Real-time (operational tide gauges)	None	ERDDAP/THREDDS (ocean grid)	total	tools/candidates/tidal-sea-level/puertos-del-estado.md
51	new	16	transit	Danish NAP — SIRI over AMQP (Movia + Lokaltog)	Denmark (national NAP, Sjælland operational coverage)	**SIRI 2.x XML over AMQP** (GenericAmqpEvent adapter in the NAP's own dataflow taxonomy)	ON_OCCURENCE — pushed live, available from approximately 1 hour before departure through the journey's lifetime	"**MitID Erhverv** (Danish business digital identity) OR **eIDAS-bridged foreign eID** (Bundesdruckerei AusweisApp / BundID for 🇩🇪, ItsMe for 🇧🇪, DigiD for 🇳🇱, etc.). After portal login the user creates a ""Servicekonto"" (service account, SASL credentials); the password is shown exactly once and cannot be recovered."	GTFS-RT/SIRI (transit)	total	tools/candidates/transit/dk-nap-siri-amqp.md
52	new	16	transit	ODPT — Japan Open Data for Public Transportation	Japan (Tokyo Metropolitan Area + expanding)	REST/JSON-LD (Linked Data)	Real-time — train locations update every ~30 s; departure boards near real-time	API key required (free registration — acl:consumerKey parameter)	GTFS-RT/SIRI (transit)	total	tools/candidates/transit/odpt-japan.md
53	new	16	transit	Taiwan TDX — Transport Data eXchange	Taiwan (national)	REST/JSON (OData-compatible query syntax)	Real-time — train live boards update every ~60 s; bus positions every 15–30 s	Free registration for basic tier; OAuth2 client credentials for higher tiers	GTFS-RT/SIRI (transit)	total	tools/candidates/transit/taiwan-tdx.md
54	new	16	volcanic	GeoNet New Zealand — Volcanic Alert Level API	New Zealand	REST (GeoJSON)	As conditions change (alert level reviews)	None	GeoJSON REST (poller)	total	tools/candidates/volcanic/geonet-nz-volcanic.md
55	new	16	weather	African METAR Stations via AviationWeather.gov	Pan-African (all ICAO-reporting airports across the continent)	REST	Real-time (METAR issued every 30–60 min per station, API cache updates every 1 min)	None	GeoJSON REST (poller)	explicit	tools/candidates/weather/africa-metar-aviation.md
56	new	16	weather	UK Met Office Weather DataHub	United Kingdom	REST (GeoJSON for site-specific, GRIB2 for atmospheric models, PNG for map images)	Hourly (spot data), per model run (atmospheric models ~6h), every few minutes (warnings)	API Key (free tier available via registration on DataHub)	GeoJSON REST (poller)	total	tools/candidates/weather/uk-met-office.md
57	new	16	wildfire	BEYOND/NOA FireHub — Greece Fire Monitoring	Greece	OGC WFS 2.0.0	Near real-time (satellite overpass based — SEVIRI, VIIRS, MODIS)	None	GeoJSON REST (poller)	total	tools/candidates/wildfire/beyond-noa-greece.md
58	new	16	wildfire	GWIS Fire Weather Index (FWI) Forecasts	Global	OGC WMS 1.1.1	Daily forecast (updated daily)	None	GeoJSON REST (poller)	total	tools/candidates/wildfire/gwis-fwi-forecasts.md
59	new	16	wildfire	INPE Queimadas (Brazil Fire Hotspot Monitoring)	Brazil + global (INPE-operated)	WFS 2.0, WMS, REST (GeoJSON)	Near-real-time (~3-6 hours, updated every 10 minutes)	None (fully open)	GeoJSON REST (poller)	explicit	tools/candidates/wildfire/spaceother-inpe-queimadas-fires.md
60	new	16	wildfire	NASA EONET (Earth Observatory Natural Event Tracker)	Global	REST (JSON / GeoJSON)	Near real-time (hours to 1 day, varies by event source)	None	GeoJSON REST (poller)	explicit	tools/candidates/wildfire/nasa-eonet.md
61	new	16	air-quality	Taiwan MOENV Air Quality Monitoring	Taiwan	REST	Hourly	API Key (free registration)		total	tools/candidates/air-quality/taiwan-moenv.md
62	new	16	aviation	FAA NOTAM API	United States (global NOTAMs available via ICAO feed)	REST	Real-time (NOTAMs published as issued)	API Key (free registration required)		total	tools/candidates/aviation/faa-notam-api.md
63	new	16	energy	AEMO NEMWeb (Australia)	Australia (National Electricity Market — Queensland, NSW, Victoria, South Australia, Tasmania)	HTTP file download (CSV inside ZIP)	5 minutes (dispatch data)	None (public data)		total	tools/candidates/energy/aemo-nemweb.md
64	new	16	energy	ONS — Operador Nacional do Sistema Elétrico (Brazil)	Brazil (National Interconnected System — SIN)	REST (ASP.NET MVC JSON endpoints)	~1 minute	None		total	tools/candidates/energy/ons-brazil.md
65	new	16	ev-charging	Switzerland BFE / ich-tanke-strom.ch	Switzerland	File download (OICP JSON format) + STAC metadata API	Continuously updated (STAC metadata shows today's date)	None		total	tools/candidates/ev-charging/switzerland-bfe.md
66	new	16	geomagnetic	GFZ Potsdam Kp Index	Global (13 contributing observatories)	REST	Every 3 hours (Kp is a 3-hourly index); nowcast available	None		total	tools/candidates/geomagnetic/gfz-kp-index.md
67	new	16	geomagnetic	INTERMAGNET	Global (150+ observatories in 40+ countries)	HAPI (Heliophysics Data Application Programmer's Interface) — REST-based	Preliminary data: minutes to hours; Definitive: annual publication	None (HAPI endpoint is public)		total	tools/candidates/geomagnetic/intermagnet.md
68	new	16	hydrology	Denmark Miljoeportalen VANDaH Hydrometry API	Denmark	REST JSON (OpenAPI-described)	Current results plus queryable historical ranges	None		total	tools/candidates/hydrology/denmark-vandah.md
69	new	16	lightning	EUMETSAT MTG Lightning Imager (MTG-LI)	Europe, Africa, Atlantic, Middle East (geostationary at 0° longitude)	REST / OpenSearch over HTTPS, OAuth2 for download	~10-minute product cadence	Search/Browse: None (anonymous). Download: Free EUMETSAT EO Portal registration + OAuth2 token.		total	tools/candidates/lightning/eumetsat-mtg-li.md
70	new	16	maritime-ais	Strait of Malacca / Bosphorus / Hormuz — Critical Maritime Chokepoints	International (Southeast Asia, Turkey, Middle East)	AIS (Automatic Identification System) VHF broadcast	Real-time (AIS position reports every 2-30 seconds)	Various		total	tools/candidates/maritime-ais/critical-chokepoints-asia-mideast.md
71	new	16	parking	ParkAPI (ParkenDD)	Germany + Europe (30+ cities)	REST	Real-time (scrapes upstream sources continuously)	None		total	tools/candidates/parking/parkapi-germany.md
72	new	16	parking	Swiss City Parking (Basel + Zürich via ParkenDD)	Switzerland — Basel, Zürich	REST	Real-time (~5 minutes)	None		total	tools/candidates/parking/swiss-parking.md
73	new	16	road-traffic	511 SF Bay Area	US — San Francisco Bay Area (California)	REST	Real-time	API key required (free, request at 511.org/open-data/token)		total	tools/candidates/road-traffic/511-sf-bay-area.md
74	new	16	road-traffic	Hong Kong Transport Department — Real-Time Road Traffic	Hong Kong SAR, China	REST (HTTP file polling) — XML	Real-time — **30-second** aggregation periods	None — fully open, no API key		explicit	tools/candidates/road-traffic/hong-kong-td-traffic.md
75	new	16	seismology	BMKG Indonesia — Earthquake Data API				None. Anonymous access.		total	tools/candidates/seismology/bmkg-indonesia.md
76	new	16	snow-avalanche	NVE Avalanche Warnings (Varsom)	Norway	REST	Daily (during winter season)	None		total	tools/candidates/snow-avalanche/nve-avalanche.md
77	new	16	space-orbital	AAVSO — Variable Star Observations	Global	REST (JSON, CSV, VOTable)	Near real-time — observations available within hours of submission	None (VSX catalog), API Key (observation data)		total	tools/candidates/space-orbital/aavso-variable-stars.md
78	new	16	space-orbital	CelesTrak	Global	REST (HTTP GET with query parameters)	Multiple times per day (TLEs updated as new data arrives from 18th SDS)	None		total	tools/candidates/space-orbital/celestrak.md
79	new	16	space-orbital	Helioviewer — Solar Imagery API	Global	REST (JSON)	Near real-time — SDO images available within minutes of capture	None		total	tools/candidates/space-orbital/helioviewer-solar-imagery.md
80	new	16	space-orbital	JPL Horizons	Global	REST (JSON wrapper around text ephemeris)	Ephemeris computed on-demand; orbital elements updated as new observations arrive	None		total	tools/candidates/space-orbital/jpl-horizons.md
81	new	16	space-orbital	JPL SBDB Close Approach API	Global	REST (JSON)	Continuously updated as new orbital solutions are computed	None		total	tools/candidates/space-orbital/jpl-sbdb-close-approach.md
82	new	16	space-orbital	ZTF Transient Alert Stream	Global	Kafka (Apache Kafka)	Nightly (alerts generated each observing night)	None (public mirror); group ID allocation recommended		total	tools/candidates/space-orbital/ztf-alerts.md
83	new	16	space-weather	NOAA GOES Differential Electron Flux (SWPC)	USA / Global (space-based)	REST (JSON)	5-minute cadence	None		explicit	tools/candidates/space-weather/noaasat-goes-electron-flux.md
84	new	16	tidal-sea-level	Kartverket — Norway Tide and Water Level API	Norway (entire coastline)	REST API (XML responses by default; JSON available for some endpoints)	Real-time (observations), 5-day forecasts	None — open for everybody, free of charge		total	tools/candidates/tidal-sea-level/kartverket-norway.md
85	new	16	tidal-sea-level	SMHI — Sweden Sea Level Observations	Sweden (entire coastline, ~2,700 km)	REST API (JSON/XML/Atom)	Real-time (hourly for standard; minute-values available)	None		total	tools/candidates/tidal-sea-level/smhi-sweden.md
86	new	16	transit	Network Rail DARWIN (GB Rail Real-Time)	United Kingdom (Great Britain)	STOMP (push), SOAP (pull), REST (HSP)	Real-time push — sub-second latency via STOMP/ActiveMQ	Registration on Rail Data Marketplace (free for open data feeds)		total	tools/candidates/transit/network-rail-darwin.md
87	new	16	volcanic	USGS Volcano Hazards Program / HANS (Hazard Alert Notification System)	United States and territories	REST (JSON)	As events occur (alert level changes, VAN/VONA issuances)	None		total	tools/candidates/volcanic/usgs-volcano-hans.md
88	new	16	water-quality	Copernicus Marine Service — Water Quality Products	Global (focus on European seas; global ocean color products)	REST API + OPeNDAP + WMTS	Daily to weekly (satellite products); near-real-time (model outputs)	Free registration required (Copernicus Marine account)		total	tools/candidates/water-quality/copernicus-marine-wq.md
89	new	16	weather	BMKG Open Data — Indonesia	Indonesia	REST (JSON)	3-hourly forecast timesteps, updated per model run	None (public endpoints, no API key required)		total	tools/candidates/weather/bmkg-indonesia.md
90	new	16	weather	ECMWF Open Data	International (European Centre, global coverage)	HTTPS file download (with Python client library), also available via cloud object storage	4× daily (00Z, 06Z, 12Z, 18Z model runs), available 7–9 hours after run time	None (open access, no registration required)		total	tools/candidates/weather/ecmwf-open-data.md
91	new	16	weather	Open-Meteo Weather API — African Coverage	Pan-African (global coverage, 1km resolution)	REST	Updated every 15 minutes (current weather), hourly forecasts	None (rate-limited; commercial plans available)		explicit	tools/candidates/weather/open-meteo-africa.md
92	new	16	weather	Synoptic Data (formerly MesoWest) — Mesonet API	Global (focus on US, expanding worldwide)	REST API	Real-time (as observations arrive)	API Key (required; free tier available, commercial tiers for higher volume)		total	tools/candidates/weather/synoptic-data.md
93	new	16	wikimedia-osm	Wikipedia Pageviews API	Global	REST (JSON)	Daily aggregates with ~1 day lag; per-article and top-pages endpoints	None		total	tools/candidates/wikimedia-osm/wikipedia-pageviews-api.md
94	new	15	air-quality	US EPA AirNow	United States, Canada, Mexico	REST	Hourly	API Key (free registration at airnowapi.org)	OpenAQ (air quality)	total	tools/candidates/air-quality/us-epa-airnow.md
95	new	15	aviation	Bahrain International Airport (OBBI) METAR - Aviation Weather API	Bahrain (BH)	REST / HTTP GET	Sub-hourly (typically every 30-60 minutes, aligned with METAR reporting schedule)	None	GeoJSON REST (poller)	explicit	tools/candidates/aviation/bh-obbi-metar-aviationweather.md
96	new	15	coral-marine	NOAA Coral Reef Watch	Global (tropical and subtropical)	HTTP file access / ERDDAP / OPeNDAP / WMS	Daily (satellite-derived)	None	ERDDAP/THREDDS (ocean grid)	total	tools/candidates/coral-marine/noaa-coral-reef-watch.md
97	new	15	disaster-alerts	Aviation Dust SIGMETs (Qatar FIR)	Qatar / Persian Gulf region	REST / JSON	Real-time (updated within minutes of issuance by operational met offices)	None	GeoJSON REST (poller)	explicit	tools/candidates/disaster-alerts/qa-dust-sigmet-aviation.md
98	new	15	disaster-alerts	India NDMA SACHET — Multi-Hazard Early Warning Alerts	India	REST (JSON)	Real-time (alerts pushed as issued — typically every few minutes during active weather)	None (anonymous access)	CAP alerts	total	tools/candidates/disaster-alerts/india-ndma-sachet.md
99	new	15	ev-charging	France IRVE (Infrastructures de Recharge pour Véhicules Électriques)	France	File download (CSV, GeoJSON)	Daily consolidation	None	GeoJSON REST (poller)	total	tools/candidates/ev-charging/france-irve.md
100	new	15	ev-charging	NRCan Electric Charging Station Locator	Canada	REST (AFDC API with country=CA filter)	Daily (synchronized with AFDC)	API Key (same NREL developer key as AFDC)	GeoJSON REST (poller)	total	tools/candidates/ev-charging/nrcan-canada.md
101	new	15	ev-charging	Slovenia Prometej / NAP EV Charging	Slovenia	HTTP/HTTPS pull	Up to 1 min	Public metadata and sample pages; live B2B access URLs returned 401 unauthenticated during probe	DATEX II (road traffic)	total	tools/candidates/ev-charging/slovenia-prometej.md
102	new	15	hydrology	Colombia IDEAM Hydrology — via datos.gov.co Socrata API	Colombia (national)	REST (Socrata SODA 2.1)	Near-real-time (~minutes, data through 2026-04-05 23:59 confirmed)	None (rate-limited without app token)	GeoJSON REST (poller)	total	tools/candidates/hydrology/colombia-ideam-hydro.md
103	new	15	parking	Italian City Parking (Firenze + Torino + Bologna)	Italy — Florence (Firenze), Turin (Torino), Bologna	REST (GeoJSON / Opendatasoft) + 5T DATEX-like XML	Real-time — Torino emits 5-minute measurement windows; Firenze/Bologna UPDATE_CONT	None	DATEX II (road traffic)	explicit	tools/candidates/parking/italy-parking.md
104	new	15	parking	RDW Netherlands Parking Specifications	Netherlands	REST (Socrata / SODA API)	Periodically updated (not real-time)	None (app token recommended for higher rate limits)	GeoJSON REST (poller)	total	tools/candidates/parking/rdw-parking-netherlands.md
105	new	15	road-traffic	Istanbul Metropolitan Municipality (İBB) Open Data — Traffic & Transit	Turkey (Istanbul)	REST (CKAN API v3)	Varies — hourly traffic density, daily transit metrics, real-time air quality	None (anonymous access for most datasets)	GBFS (micromobility)	total	tools/candidates/road-traffic/istanbul-ibb-traffic.md
106	new	15	seismology	AFAD Turkey Earthquake API — Deep Dive Update	Turkey	REST (JSON)	Near-real-time (events appear within minutes of detection)	None (anonymous access)	FDSN/QuakeML (seismology)	total	tools/candidates/seismology/afad-turkey-deep-dive.md
107	new	15	seismology	EMSC Felt Reports & Testimonies				None for EMSC FDSN; testimonies API may require registration.	FDSN/QuakeML (seismology)	total	tools/candidates/seismology/emsc-felt-reports.md
108	new	15	snow-avalanche	WSDOT Mountain Pass Conditions	US — Washington State	REST (ArcGIS FeatureServer + WSDOT Traveler API)	Real-time (updated multiple times daily during winter, as conditions change)	API Access Code (free) for Traveler API; none for ArcGIS FeatureServer	ArcGIS FeatureServer (poller)	explicit	tools/candidates/snow-avalanche/wsdot-mountain-passes.md
109	new	15	transit	Deutsche Bahn Timetables API (IRIS)	Germany	REST (proprietary XML)	Real-time — changes streamed per station; plan data hourly	API Key (free registration on DB API Marketplace)	GTFS-RT/SIRI (transit)	total	tools/candidates/transit/db-timetables.md
110	new	15	wikimedia-osm	Mapillary	Global	REST (JSON), Graph API	Near real-time — images available within minutes of upload	OAuth2 / Client Token (free)	GeoJSON REST (poller)	total	tools/candidates/wikimedia-osm/mapillary.md
111	new	15	wildfire	MODIS/VIIRS Thermal Hotspots — Africa Wildfire Detection	Pan-African	ArcGIS REST API (Feature Service)	Last 48 hours of thermal detections, updated multiple times daily	None	ArcGIS FeatureServer (poller)	explicit	tools/candidates/wildfire/africa-modis-viirs-hotspots.md
112	new	15	air-quality	NILU Norway (Norwegian Institute for Air Research)	Norway	REST	Hourly	API Key (required)		total	tools/candidates/air-quality/nilu-norway.md
